,coef,carac
0,-68.48561255252453,hum
1,-11.994724174536637,holiday
2,-11.115051475961058,weathersit_3
3,-10.27132667283701,season_3
4,-7.011271856882833,season_1
5,-4.0103993616133895,weekday_0
6,-0.5589362500099893,weekday_1
7,-0.49260612314879965,sum_hr_2
8,-0.405911404132833,weekday_2
9,0.11789446746556823,weekday_4
10,0.6840884544147514,season_2
11,0.8549757342387145,weekday_3
12,1.112990549155105,sum_hr_1
13,1.8668021679024993,weekday_6
14,2.1355746461495664,weekday_5
15,2.169613099126348,hr
16,3.1943199086397778,weathersit_1
17,3.465149659278269,weathersit_4
18,4.455581908042821,weathersit_2
19,5.36909952696433,atemp
20,7.745999765676316,windspeed
21,16.598510075305715,season_4
22,30.27399594522966,yr
23,129.54327901789026,temp
24,4.34277617198174,intercept
